#{"t_start": 1583684814.0680325, "env_id": null}
r,l,t
-295.87103,200,1.720487
-295.591431,200,2.506461
-284.093542,200,3.174408
-267.674677,200,3.865515
-300.861187,200,4.5302
-283.558955,200,5.305196
-309.153682,200,5.996722
-288.914994,200,6.947692
-271.673747,200,8.070692
-273.706493,200,8.949689
-273.552976,200,9.872688
-264.395949,200,10.782693
-271.852175,200,11.529693
-270.604733,200,12.17914
-272.214724,200,12.922428
-282.461496,200,13.680056
-253.920549,200,14.377016
-259.722307,200,15.086597
-269.356138,200,15.80887
-276.750644,200,16.501768
-281.57907,200,17.156006
-260.098603,200,17.847744
-269.769413,200,18.572457
-255.919072,200,19.314748
-291.502227,200,20.005645
-281.450803,200,20.659813
-271.824724,200,21.342244
-285.095732,200,21.997002
-265.361001,200,22.684985
-288.537861,200,23.336871
-250.579732,200,24.25106
-243.027225,200,24.919657
-295.756339,200,25.659093
-283.855794,200,26.443868
-264.79748,200,27.120529
-284.005408,200,27.806152
-284.713691,200,28.456602
-262.770739,200,29.161372
-261.645592,200,29.924368
-275.164594,200,30.62013
-264.614674,200,31.306329
-295.463494,200,31.953642
-280.597147,200,32.639876
-273.731792,200,33.289125
-272.753264,200,33.980819
-278.604683,200,34.632568
-306.995218,200,35.432115
-273.133152,200,36.120776
-278.332261,200,36.88574
-263.497302,200,37.572204
-279.326711,200,38.226184
-278.423059,200,38.912466
-251.051809,200,39.578012
-284.316283,200,40.310586
-266.508727,200,41.023598
-253.57836,200,41.708616
-292.94805,200,42.397742
-317.528074,200,43.046902
-298.744681,200,43.725949
-287.458793,200,44.379983
-232.994579,200,45.111823
-268.921818,200,45.821311
-261.159666,200,46.611376
-270.714095,200,47.322905
-271.594381,200,48.01187
-268.15673,200,48.692259
-285.177551,200,49.341387
-299.081161,200,50.033269
-286.387398,200,50.746026
-289.408043,200,51.555073
-289.173333,200,52.241716
-266.380941,200,52.936054
-295.697424,200,53.632431
-279.679873,200,54.291808
-261.002835,200,54.978121
-285.018997,200,55.636184
-297.613793,200,56.315052
-267.002756,200,57.10493
-278.85963,200,57.867901
-273.739199,200,58.532137
-283.242381,200,59.2175
-275.73877,200,59.906452
-276.515269,200,60.571023
-260.712783,200,61.254746
-287.793359,200,61.907212
-309.980435,200,62.724034
-272.196666,200,63.375679
-289.247037,200,64.067367
-269.761639,200,64.759033
-297.498465,200,65.459191
-270.375445,200,66.158689
-271.892112,200,66.851167
-290.482087,200,67.630816
-276.355139,200,68.402136
-296.856879,200,69.121042
-265.649319,200,69.77341
-303.14665,200,70.478035
-279.202668,200,71.16489
-273.461099,200,71.820103
-284.799644,200,72.591887
-306.560145,200,73.437885
-273.690323,200,74.180904
-280.321284,200,74.976462
-283.25575,200,75.73015
-266.931757,200,76.505955
-288.941726,200,77.206517
-302.396113,200,77.893415
-296.759002,200,78.765413
-301.019104,200,79.466522
-283.580632,200,80.120916
-270.975554,200,80.810521
-290.932926,200,81.467024
-298.459697,200,82.151024
-304.5162,200,82.83632
-274.641188,200,83.486133
-311.713813,200,84.289242
-285.510177,200,84.958536
-282.824364,200,85.648213
-310.362563,200,86.302902
-284.393506,200,86.990114
-290.032961,200,87.687706
-288.740321,200,88.337851
-262.48229,200,89.140854
-291.480226,200,89.904524
-278.344768,200,90.606554
-261.451884,200,91.275807
-274.470606,200,91.964801
-248.389408,200,92.627345
-281.998913,200,93.306695
-260.461923,200,93.997385
-280.871131,200,94.652096
-304.025016,200,95.439723
-277.753951,200,96.09066
-268.920019,200,96.773668
-279.2649,200,97.423424
-267.020224,200,98.116459
-264.464701,200,98.806316
-271.722498,200,99.587312
-299.970665,200,100.288657
-277.134953,200,101.034902
-268.322698,200,101.722923
-289.442605,200,102.369128
-274.813961,200,103.05147
-284.775761,200,103.7036
-289.370718,200,104.384541
-304.480722,200,105.073565
-268.799773,200,105.750775
-283.043274,200,106.514216
-280.103819,200,107.163807
