#{"t_start": 1583692072.6170218, "env_id": null}
r,l,t
104.551298,200,1.967593
113.709673,200,2.597476
110.952016,200,3.201026
123.10027,200,3.838579
124.842806,200,4.462385
128.770275,200,5.111143
128.609391,200,5.975885
142.603296,200,6.631108
121.738928,200,7.516721
939.93197,200,8.390721
144.558171,200,9.257874
642.679096,200,10.028972
129.571915,200,10.779397
137.930193,200,11.648751
4908.525799,200,12.309125
136.135299,200,13.009444
150.347441,200,13.65378
159.839899,200,14.317535
142.836793,200,14.936016
110.889034,200,15.570595
131.820383,200,16.24781
123.105449,200,16.912074
143.099705,200,17.522696
140.322979,200,18.281858
109.520903,200,18.921994
139.504199,200,19.542387
147.091265,200,20.196801
151.872929,200,20.810214
4223.058611,200,21.458012
7193.133782,200,22.083813
5806.869031,200,22.767693
130.915332,200,23.50417
3724.127013,200,24.150913
2926.361348,200,24.795164
541.665174,200,25.414917
145.778092,200,26.049439
146.34631,200,26.742997
732.556353,200,27.408814
127.892576,200,28.027578
140.015608,200,28.73498
138.256168,200,29.418429
133.440484,200,30.02646
116.945875,200,30.663166
115.451755,200,31.284434
114.483455,200,31.919986
146.698645,200,32.530645
142.772563,200,33.163806
4030.166033,200,33.800097
2725.615565,200,34.558435
2730.721083,200,35.2329
153.729801,200,35.846425
2038.043237,200,36.512762
146.095737,200,37.199208
2530.335878,200,37.872598
3823.107136,200,38.503675
124.628994,200,39.132204
851.639865,200,39.880944
141.418973,200,40.492373
124.176397,200,41.121251
129.846181,200,41.719305
117.235941,200,42.347287
126.820908,200,42.952959
105.272081,200,43.582248
125.465196,200,44.18584
95.166086,200,44.847513
122.486668,200,45.564903
107.63044,200,46.194853
80.112191,200,46.826441
128.851888,200,47.467447
116.904736,200,48.152394
91.972874,200,48.766943
132.83392,200,49.41481
119.599782,200,50.059189
121.002815,200,50.771084
119.459479,200,51.413011
117.795403,200,52.021854
96.495597,200,52.655581
106.63998,200,53.260114
89.86182,200,53.885657
121.834031,200,54.504486
101.408707,200,55.13837
127.108609,200,55.853542
122.860231,200,56.506182
106.583944,200,57.147235
136.279507,200,57.830804
118.411318,200,58.690778
90.996359,200,59.34668
116.25122,200,60.045726
114.262771,200,60.727463
113.996697,200,61.510463
110.836305,200,62.28246
145.646027,200,62.915015
109.9701,200,63.553199
120.89556,200,64.194371
135.683368,200,64.973327
135.741497,200,65.698374
130.219727,200,66.345434
125.363731,200,67.083389
142.729107,200,67.721797
115.347897,200,68.401814
139.531411,200,69.092591
138.074423,200,69.751114
134.413941,200,70.352816
243.96678,200,70.996722
130.631191,200,71.63336
4216.89031,200,72.368496
2331.810402,200,73.02637
4615.102746,200,73.634696
553.298472,200,74.286682
4624.860021,200,74.905268
154.330481,200,75.545128
137.277494,200,76.155899
108.703057,200,76.797983
115.680865,200,77.4983
118.143815,200,78.152294
124.368476,200,78.821864
139.468366,200,79.49663
132.099699,200,80.144217
119.66507,200,80.737147
121.473924,200,81.377913
121.349364,200,82.010255
141.051747,200,82.613009
130.001617,200,83.357192
141.334263,200,83.970402
120.87132,200,84.606331
140.023671,200,85.222801
112.08295,200,85.852643
117.521837,200,86.450076
150.500496,200,87.093769
122.65901,200,87.721012
128.840694,200,88.43271
129.7757,200,89.096153
128.528078,200,89.812137
1547.226152,200,90.573797
143.836487,200,91.18578
135.096091,200,91.830806
151.935344,200,92.476584
122.915332,200,93.105339
133.955436,200,93.812449
152.205774,200,94.465214
129.22684,200,95.116213
140.263585,200,95.724383
142.45653,200,96.365081
150.981242,200,97.000077
257.79179,200,97.645927
135.709397,200,98.293592
2035.066304,200,98.91519
944.483715,200,99.67619
152.460348,200,100.397403
360.9133,200,101.054567
1544.574317,200,101.663155
157.308653,200,102.307039
6999.400419,200,102.95835
4916.471985,200,103.588538
142.915664,200,104.231086
144.865043,200,104.957083
146.373987,200,105.595772
3221.930081,200,106.214256
5805.827677,200,106.858435
135.781741,200,107.468725
5606.665845,200,108.126849
4719.873894,200,108.766864
2337.720627,200,109.392117
1052.681506,200,110.128273
148.031533,200,110.856112
2738.374891,200,111.518149
3124.672398,200,112.154714
151.2528,200,112.790725
152.954598,200,113.435467
4712.426146,200,114.063895
