#{"t_start": 1583517820.114113, "env_id": null}
r,l,t
-2599.829341,200,4.83235
-2591.945568,200,6.449763
-2708.9488,200,8.43913
-2410.397107,200,10.279656
-2619.419602,200,11.52195
-2376.517899,200,12.653665
-2245.198465,200,13.727276
-2385.875184,200,14.866532
-1523.110381,200,16.411688
3405.006419,200,17.67294
-2384.909949,200,18.887535
-1974.731492,200,20.471922
-2156.884084,200,21.899702
-2126.194415,200,23.03964
-2229.901937,200,24.27689
-2237.070961,200,25.573018
-2224.404872,200,27.976529
-2303.023903,200,29.647112
-2310.752512,200,31.498718
-2300.153945,200,33.322486
-2149.494501,200,34.50964
-2245.502272,200,36.072498
-2407.46211,200,37.495767
-2428.032455,200,39.014627
-2361.017373,200,40.138076
-2262.366266,200,41.639682
-2493.683304,200,42.897439
-2205.003814,200,44.243539
-2209.650955,200,46.329682
-2222.581765,200,48.089386
-2195.534771,200,49.914006
-2255.619259,200,51.867157
-2235.41233,200,53.249639
-2542.920745,200,54.366772
-2442.550649,200,56.016502
-2354.317381,200,57.482499
-2325.73769,200,59.045744
-2188.73264,200,60.304706
-2127.121059,200,61.990398
-2267.711049,200,63.491066
-2176.977635,200,64.777891
-2321.307545,200,66.219126
-2208.306966,200,67.757828
-2199.956743,200,69.146944
-2317.126299,200,70.423482
-2192.019993,200,71.791874
-2328.486594,200,73.293787
-2255.653624,200,74.846878
-2208.1444,200,77.033573
9247.750657,200,79.059952
-2297.382248,200,80.247851
-2123.653412,200,81.889561
-2185.69601,200,83.475955
-2196.038229,200,85.717975
-2210.081026,200,87.464756
-2402.550544,200,89.139779
-2361.83331,200,90.970024
-2479.658431,200,92.656873
-2358.767657,200,94.180916
-2358.866553,200,96.706615
-2343.048701,200,98.190832
-2406.973183,200,99.653502
-2437.42624,200,101.346755
-2621.425323,200,103.171969
-2187.550386,200,105.984842
-2547.196513,200,108.81371
-2202.794591,200,110.457382
-2227.28654,200,112.060937
-2658.786127,200,114.179703
-2160.833228,200,116.280555
-2293.294511,200,117.912591
-2291.365519,200,120.088558
