#{"t_start": 1583814692.0267344, "env_id": null}
r,l,t
-852.707001,200,12.691084
2715.031653,200,24.648131
-551.320982,200,32.434732
-1082.794003,200,38.919618
-353.469677,200,45.132688
7321.275257,200,51.675619
3992.786015,200,58.028626
7729.076899,200,65.450646
-1350.774501,200,72.294698
-1209.275341,200,78.794641
9536.383705,200,85.390617
9354.927395,200,92.067624
4285.0727,200,99.275625
-2908.285102,200,105.638647
-1692.018774,200,112.233627
234.992257,200,117.19262
1288.445377,200,124.749949
2825.504985,200,131.245327
5043.761303,200,138.276022
4903.551547,200,145.445305
-2865.593426,200,151.437319
13521.523723,200,157.114331
8409.673981,200,163.905305
-2974.833786,200,176.844325
-1109.883509,200,182.770305
917.190761,200,191.921309
-1434.890655,200,198.097332
-3332.333444,200,204.343305
-1182.532151,200,211.771908
-652.934002,200,217.797907
-4919.829577,200,224.974908
-5268.788331,200,230.031921
-9282.33633,200,236.684911
-7210.664388,200,245.370906
-3999.6548,200,253.282918
4754.412566,200,261.42695
-533.861815,200,268.738909
-6525.676232,200,276.584542
-3317.993467,200,286.17294
-8161.758358,200,292.851673
