#{"t_start": 1583716892.2620625, "env_id": null}
r,l,t
63.355611,200,1.734482
70.960867,200,2.4131
73.851158,200,3.295396
84.541899,200,4.127902
95.213678,200,4.848243
108.479984,200,5.741228
92.650991,200,6.437908
87.993204,200,7.131017
90.895804,200,7.820129
88.779309,200,8.490144
92.50412,200,9.176226
88.665707,200,9.821029
87.463761,200,10.512723
105.500465,200,11.316838
108.407841,200,12.021932
107.665565,200,12.68812
111.226074,200,13.435735
118.156035,200,14.159633
107.039752,200,14.826799
111.469104,200,15.636235
106.422152,200,16.372829
100.694837,200,17.210243
81.394624,200,17.868587
106.40169,200,18.573958
106.500921,200,19.27602
83.350738,200,19.949342
99.635843,200,20.635967
110.742178,200,21.318679
94.732796,200,22.134534
108.401565,200,22.794692
122.140917,200,23.518813
1027.16942,200,24.191914
111.789076,200,24.905562
105.326622,200,25.663493
101.448304,200,26.477468
103.079981,200,27.400722
116.138693,200,28.199699
119.458592,200,29.188699
111.558681,200,30.085565
106.84733,200,31.009059
111.968765,200,32.011816
109.128541,200,33.030819
106.623253,200,34.069816
111.289811,200,34.939816
115.510699,200,35.657739
113.555627,200,36.443606
131.80875,200,37.173538
113.380481,200,37.865264
111.855574,200,38.726271
117.656115,200,39.421296
117.133776,200,40.108194
111.961424,200,40.831888
120.198435,200,41.525641
129.569402,200,42.23309
114.524935,200,43.000188
117.664067,200,43.77361
118.636552,200,44.621964
127.368101,200,45.3095
121.910179,200,46.072526
124.819999,200,46.812356
121.716229,200,47.64606
118.201949,200,48.469544
118.736966,200,49.424547
136.871574,200,50.272587
119.374285,200,51.159374
132.893271,200,51.950088
132.248213,200,52.714084
117.725478,200,53.476812
136.633939,200,54.19396
118.093517,200,55.034373
118.252403,200,55.796087
141.446138,200,56.505871
127.4207,200,57.312288
117.892196,200,58.068887
118.551756,200,58.823269
133.625016,200,59.503742
127.888052,200,60.231589
117.515502,200,61.073602
129.405509,200,61.782636
118.070907,200,62.505362
133.672144,200,63.20224
121.063164,200,63.938355
141.510805,200,64.603594
117.247728,200,65.365469
118.45366,200,66.229903
128.339835,200,66.94916
119.15643,200,67.767721
129.655766,200,68.578264
120.040432,200,69.357529
131.010118,200,70.050752
120.554831,200,70.804431
