#{"t_start": 1583751741.1327107, "env_id": null}
r,l,t
63.015844,200,1.68247
51.294528,200,2.35434
41.379906,200,3.045276
46.086573,200,3.82871
46.122912,200,4.49721
46.311371,200,5.179643
46.479402,200,5.81798
59.642566,200,6.512023
46.006909,200,7.179679
60.820113,200,7.840297
60.255405,200,8.531323
83.94385,200,9.317199
52.217896,200,10.098989
60.414714,200,10.758728
120.252325,200,11.467887
105.656286,200,12.133289
151.659057,200,12.828161
207.44706,200,13.531342
64.3608,200,14.275851
53.220628,200,14.968507
58.694034,200,15.636677
52.427028,200,16.323129
65.745326,200,16.987991
63.539507,200,17.700398
56.031685,200,18.390604
64.932382,200,19.082543
64.066757,200,19.9022
66.005575,200,20.691723
67.220892,200,21.434632
139.239447,200,22.107271
66.436879,200,22.818648
59.803354,200,23.51642
67.181603,200,24.271138
134.584239,200,25.031398
116.314815,200,25.769979
67.322556,200,26.499079
85.933118,200,27.17596
83.913616,200,27.873344
134.126043,200,28.534312
116.232573,200,29.313917
67.309038,200,30.032895
69.827691,200,30.925891
62.38309,200,31.649083
65.738053,200,32.346907
158.571392,200,33.03025
363.295026,200,33.706666
64.358406,200,34.439485
229.821305,200,35.110024
66.931993,200,35.843763
189.724552,200,36.645362
275.58202,200,37.320251
220.071636,200,38.026767
164.941044,200,38.705961
237.099042,200,39.446018
222.545913,200,40.123181
183.074476,200,40.83176
257.117314,200,41.741091
253.365341,200,42.43016
277.460831,200,43.137364
69.668555,200,43.841692
68.997498,200,44.606256
268.405813,200,45.271503
68.316571,200,45.997036
237.546403,200,46.694241
69.111969,200,47.541239
136.549111,200,48.257254
248.093922,200,48.916098
68.23308,200,49.65861
261.527839,200,50.336928
158.64944,200,51.06012
69.450848,200,51.850048
240.612616,200,52.723472
230.406537,200,53.464037
207.447317,200,54.171104
241.479754,200,54.89703
218.932483,200,55.60261
201.193331,200,56.337884
213.95539,200,57.04363
212.713032,200,57.856129
212.716304,200,58.584759
216.938605,200,59.390883
224.954069,200,60.133727
213.708289,200,60.827607
213.283058,200,61.59544
195.978571,200,62.424833
191.838114,200,63.317173
200.286341,200,64.175177
188.030027,200,64.946986
193.531495,200,65.79338
193.590699,200,66.539311
187.271224,200,67.332816
199.006823,200,68.054786
182.340395,200,68.891517
211.984846,200,69.607012
189.627094,200,70.332145
185.198139,200,71.028213
198.076156,200,71.745952
186.768611,200,72.477255
186.426245,200,73.289508
181.297092,200,74.070458
179.208663,200,74.825524
184.890997,200,75.566127
227.480794,200,76.260179
183.541853,200,76.979553
197.956752,200,77.715555
212.677348,200,78.426302
209.399695,200,79.177557
206.043249,200,79.981834
189.333807,200,80.716239
229.444883,200,81.435683
217.917379,200,82.190713
226.424822,200,82.894692
232.599657,200,83.758651
237.871762,200,84.582588
240.365378,200,85.417387
226.955851,200,86.151003
252.276873,200,86.853638
263.206264,200,87.597869
232.74414,200,88.313109
225.384026,200,89.071639
282.120453,200,89.815428
277.056752,200,90.668434
258.736226,200,91.430346
273.565387,200,92.210637
264.655852,200,92.94597
281.072562,200,93.744542
248.335493,200,94.527655
245.708008,200,95.251951
234.090549,200,96.101824
254.139414,200,96.83283
234.257761,200,97.551581
244.930618,200,98.297741
221.860825,200,99.01373
229.53475,200,99.75917
231.84794,200,100.477039
211.587413,200,101.288529
200.598092,200,102.087261
199.774988,200,102.787009
198.770594,200,103.537374
245.965813,200,104.367603
194.742503,200,105.121328
217.512828,200,105.825768
205.315083,200,106.604394
232.794622,200,107.403338
212.202804,200,108.149955
219.981232,200,108.881428
225.659796,200,109.60178
239.755148,200,110.355896
232.798778,200,111.068252
218.934751,200,111.805879
229.333259,200,112.629973
214.096529,200,113.384014
234.722196,200,114.138163
255.600139,200,114.946527
255.259576,200,115.72718
237.483756,200,116.454668
219.713777,200,117.203953
231.554242,200,118.029817
278.447808,200,118.78133
263.149289,200,119.518908
280.425859,200,120.301266
278.322295,200,121.05621
274.121047,200,121.809931
291.190911,200,122.571445
284.695216,200,123.422917
277.434984,200,124.189312
274.237857,200,124.942824
259.932167,200,125.785697
268.372015,200,126.602116
245.133136,200,127.321538
269.929071,200,128.071764
247.170696,200,128.980496
274.082564,200,129.85384
294.778756,200,130.701145
281.812934,200,131.518205
284.104753,200,132.297092
284.460949,200,133.280542
284.660727,200,134.154321
276.668192,200,134.881616
291.063957,200,135.749234
294.593432,200,136.484391
284.331035,200,137.248647
275.93829,200,137.968673
282.272825,200,138.783911
282.875753,200,139.655074
275.211863,200,140.384945
234.987905,200,141.14495
257.64071,200,141.861249
235.671124,200,142.61863
237.792105,200,143.335124
257.942514,200,144.163145
244.829626,200,145.141
252.863141,200,146.039848
253.64273,200,146.946621
259.490962,200,147.675389
233.221238,200,148.436652
229.288138,200,149.176696
234.378174,200,149.923316
257.760099,200,150.77976
241.615152,200,151.534572
232.039476,200,152.361089
273.185712,200,153.088018
288.247565,200,153.838096
281.882146,200,154.618744
288.520467,200,155.448026
286.221495,200,156.35368
270.769558,200,157.183885
284.239214,200,157.910343
276.860617,200,158.668573
268.406022,200,159.437092
273.730998,200,160.175103
246.480234,200,160.955287
287.781225,200,161.774205
288.555814,200,162.550838
291.105285,200,163.278092
287.999318,200,164.034503
289.833935,200,164.796452
281.503874,200,165.514674
298.302853,200,166.290809
301.143309,200,167.241806
305.765508,200,167.996805
291.49152,200,168.722696
291.71754,200,169.487795
295.084247,200,170.219857
290.524603,200,170.980154
294.019285,200,171.759014
296.038927,200,172.569524
249.722827,200,173.329671
299.082685,200,174.055952
296.866436,200,174.818677
296.872855,200,175.550056
294.23743,200,176.322147
295.230719,200,177.074293
285.6941,200,177.986957
285.37842,200,178.746534
288.476749,200,179.498348
280.178237,200,180.281939
301.649169,200,181.005571
293.036804,200,181.785062
303.209504,200,182.58195
296.375698,200,183.443212
298.258785,200,184.220162
298.51432,200,184.943928
304.595248,200,185.713433
303.463584,200,186.458883
297.16861,200,187.218081
301.983618,200,188.044029
281.606327,200,188.918385
296.352396,200,189.676987
295.897374,200,190.408489
296.703361,200,191.1709
294.101431,200,191.884768
293.461433,200,192.650567
299.420933,200,193.374
296.009586,200,194.324122
292.526172,200,195.170123
298.865969,200,195.977348
302.606588,200,196.836405
280.125756,200,197.673052
293.314543,200,198.625562
291.520348,200,199.537212
294.76766,200,200.303896
284.272655,200,201.011961
286.868305,200,201.779672
83.0857,200,202.61586
299.838314,200,203.354816
299.999081,200,204.130321
295.179365,200,204.954727
297.077876,200,205.725089
302.563224,200,206.456732
300.79005,200,207.215635
299.779893,200,207.940599
299.901369,200,208.705592
287.482831,200,209.604405
296.31252,200,210.516528
289.731381,200,211.287268
299.889004,200,212.005458
295.343033,200,212.767462
304.781919,200,213.496642
299.529358,200,214.261875
82.91259,200,215.092198
83.183576,200,215.987044
291.365383,200,216.742884
305.294193,200,217.468835
301.929949,200,218.222566
300.912699,200,218.954972
301.586132,200,219.819364
302.307632,200,220.551771
301.798917,200,221.444216
305.66339,200,222.200502
296.385297,200,222.928476
82.984148,200,223.774729
305.145765,200,224.501751
300.525205,200,225.266681
302.635995,200,225.97481
302.614246,200,226.833677
304.671885,200,227.602922
304.917174,200,228.327183
301.85941,200,229.085611
300.052978,200,229.85238
299.721467,200,230.680928
302.224172,200,231.411256
82.996137,200,232.359675
302.54671,200,233.087656
305.00656,200,233.857915
303.577109,200,234.638119
303.139041,200,235.364875
302.405701,200,236.129801
301.105102,200,236.857752
305.949447,200,237.728787
301.02089,200,238.461933
302.992841,200,239.23434
303.244095,200,239.994241
302.859211,200,240.913173
304.379526,200,241.690031
83.042908,200,242.541501
306.063612,200,243.370014
305.289908,200,244.116648
303.973563,200,244.885294
303.594527,200,245.603243
304.710393,200,246.377856
306.724896,200,247.138651
291.143199,200,247.88562
296.634125,200,248.736842
303.614254,200,249.467172
303.4919,200,250.229525
82.96998,200,251.142631
304.384484,200,251.89412
306.659008,200,252.650602
303.509248,200,253.429684
304.120452,200,254.256311
307.102103,200,255.450307
305.717713,200,256.609309
303.576594,200,258.127309
302.555935,200,260.921309
303.801747,200,262.823311
305.162208,200,264.850311
305.593988,200,266.555311
306.63178,200,267.809308
305.538482,200,269.156308
304.389358,200,270.76031
305.484502,200,272.11331
301.64665,200,273.411308
302.191651,200,274.576309
302.785311,200,275.745309
306.65927,200,277.202308
306.320237,200,278.560309
305.7069,200,280.287309
306.138819,200,281.48631
304.750771,200,282.721311
307.258137,200,284.06431
305.136813,200,285.197306
304.058062,200,286.145306
304.228785,200,287.114311
302.456827,200,288.191316
304.72696,200,289.154309
304.833505,200,290.068308
299.668663,200,290.943307
300.054051,200,291.831313
306.344102,200,292.771314
302.444253,200,293.989313
299.1183,200,294.871317
301.624011,200,295.838326
305.36323,200,296.731315
299.675163,200,297.645319
289.500274,200,298.834316
285.047236,200,299.823838
300.487832,200,300.818831
292.852907,200,301.813831
298.082149,200,302.798831
292.257763,200,304.121836
298.942788,200,305.17783
289.626264,200,306.105832
300.916588,200,307.011838
300.348145,200,307.869882
302.687605,200,308.726171
83.069892,200,309.736391
299.762866,200,310.49638
294.322107,200,311.295282
306.366344,200,312.055837
82.837853,200,312.979142
299.658108,200,313.740626
301.103409,200,314.630491
83.082752,200,315.664177
303.833252,200,316.458608
302.09526,200,317.292249
301.879879,200,318.052663
299.446234,200,318.874694
302.958241,200,319.685053
298.607159,200,320.591854
302.685588,200,321.37913
303.075045,200,322.196613
301.111943,200,322.968044
302.356508,200,323.788435
304.913547,200,324.661827
298.524132,200,325.551541
302.161648,200,326.502541
295.060837,200,327.294566
82.728746,200,328.232177
300.598246,200,329.077111
296.739692,200,329.9893
295.284133,200,330.821235
300.090194,200,331.679222
290.539906,200,332.48586
299.231834,200,333.300062
295.181628,200,334.099975
304.365107,200,334.895002
304.400292,200,335.761236
301.122213,200,336.61029
303.411252,200,337.450868
82.908354,200,338.384529
82.96785,200,339.294456
82.821087,200,340.157427
82.700575,200,340.986284
279.171829,200,341.793113
82.638948,200,342.7605
82.174303,200,343.705466
82.139673,200,344.573087
82.732296,200,345.455045
82.105386,200,346.404206
82.532854,200,347.226936
82.761146,200,348.251938
81.978399,200,349.093536
82.463451,200,349.954895
81.692413,200,350.805719
81.628288,200,351.664047
82.483823,200,352.534132
81.86493,200,353.551131
258.865576,200,354.353693
82.069326,200,355.228123
81.917032,200,356.15022
81.275502,200,357.073039
82.404528,200,358.029052
82.136021,200,359.012558
82.805639,200,359.977353
82.937182,200,360.873698
284.805894,200,361.66425
82.392447,200,362.56643
82.839838,200,363.484245
82.812154,200,364.518274
82.742231,200,365.384715
82.365966,200,366.238871
